date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:08	48922/48922	---M--	200	added ('OK')	image/jpeg	etag:%2263dfeb11-bf1a%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2166_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2166_thumb.jpg	(from https://chanhleo.love/)
20:47:08	135171/135171	---M--	200	added ('OK')	image/jpeg	etag:%2263dfeb31-21003%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2183_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2183_thumb.jpg	(from https://chanhleo.love/)
20:47:08	48968/48968	---M--	200	added ('OK')	image/jpeg	etag:%2263dfeb9d-bf48%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2216_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2216_thumb.jpg	(from https://chanhleo.love/)
20:47:08	33331/33331	---M--	200	added ('OK')	image/jpeg	etag:%2263dfebb4-8233%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2313_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2313_thumb.jpg	(from https://chanhleo.love/)
20:47:09	30151/30151	---M--	200	added ('OK')	image/jpeg	etag:%2263dfebd0-75c7%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2387_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2387_thumb.jpg	(from https://chanhleo.love/)
20:47:09	63495/63495	---M--	200	added ('OK')	image/jpeg	etag:%2263dfec29-f807%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2403_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2403_thumb.jpg	(from https://chanhleo.love/)
20:47:09	32236/32236	---M--	200	added ('OK')	image/jpeg	etag:%2263dfec3e-7dec%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2410_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2410_thumb.jpg	(from https://chanhleo.love/)
20:47:09	34371/34371	---M--	200	added ('OK')	image/jpeg	etag:%2263e0046f-8643%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2417_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2417_thumb.jpg	(from https://chanhleo.love/)
20:47:09	29264/29264	---M--	200	added ('OK')	image/jpeg	etag:%2263e00482-7250%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2427_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2427_thumb.jpg	(from https://chanhleo.love/)
20:47:10	29747/29747	---M--	200	added ('OK')	image/jpeg	etag:%2263e004af-7433%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2463_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2463_thumb.jpg	(from https://chanhleo.love/)
20:47:10	29024/29024	---M--	200	added ('OK')	image/jpeg	etag:%2263e004c3-7160%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2494_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2494_thumb.jpg	(from https://chanhleo.love/)
20:47:10	28234/28234	---M--	200	added ('OK')	image/jpeg	etag:%2263e004d5-6e4a%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2516_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2516_thumb.jpg	(from https://chanhleo.love/)
20:47:10	27639/27639	---M--	200	added ('OK')	image/jpeg	etag:%2263e004fd-6bf7%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2540_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2540_thumb.jpg	(from https://chanhleo.love/)
20:47:10	26792/26792	---M--	200	added ('OK')	image/jpeg	etag:%2263e00523-68a8%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2582_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2582_thumb.jpg	(from https://chanhleo.love/)
20:47:11	27152/27152	---M--	200	added ('OK')	image/jpeg	etag:%2263e00533-6a10%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2622_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2622_thumb.jpg	(from https://chanhleo.love/)
20:47:11	18753/18753	---M--	200	added ('OK')	image/jpeg	etag:%2263e00542-4941%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2686_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2686_thumb.jpg	(from https://chanhleo.love/)
20:47:11	46891/46891	---M--	200	added ('OK')	image/jpeg	etag:%2263e0055c-b72b%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2791_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2791_thumb.jpg	(from https://chanhleo.love/)
20:47:11	43023/43023	---M--	200	added ('OK')	image/jpeg	etag:%2263e005f8-a80f%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2829_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2829_thumb.jpg	(from https://chanhleo.love/)
20:47:12	44349/44349	---M--	200	added ('OK')	image/jpeg	etag:%2263e00627-ad3d%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2835_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2835_thumb.jpg	(from https://chanhleo.love/)
20:47:12	111251/111251	---M--	200	added ('OK')	image/jpeg	etag:%2263e00642-1b293%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2869_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2869_thumb.jpg	(from https://chanhleo.love/)
20:47:12	41717/41717	---M--	200	added ('OK')	image/jpeg	etag:%2263e00651-a2f5%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2943_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2943_thumb.jpg	(from https://chanhleo.love/)
20:47:12	37770/37770	---M--	200	added ('OK')	image/jpeg	etag:%2263e0067d-938a%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2969_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2969_thumb.jpg	(from https://chanhleo.love/)
20:47:12	43079/43079	---M--	200	added ('OK')	image/jpeg	etag:%2263e006ef-a847%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A2977_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A2977_thumb.jpg	(from https://chanhleo.love/)
20:47:13	40011/40011	---M--	200	added ('OK')	image/jpeg	etag:%2263e006af-9c4b%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3006_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3006_thumb.jpg	(from https://chanhleo.love/)
20:47:13	27334/27334	---M--	200	added ('OK')	image/jpeg	etag:%2263e006c0-6ac6%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3026_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3026_thumb.jpg	(from https://chanhleo.love/)
20:47:13	34861/34861	---M--	200	added ('OK')	image/jpeg	etag:%2263e00772-882d%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3062_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3062_thumb.jpg	(from https://chanhleo.love/)
20:47:13	63343/63343	---M--	200	added ('OK')	image/jpeg	etag:%2263e00840-f76f%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3084_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3084_thumb.jpg	(from https://chanhleo.love/)
20:47:14	32090/32090	---M--	200	added ('OK')	image/jpeg	etag:%2263e00859-7d5a%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3090_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3090_thumb.jpg	(from https://chanhleo.love/)
20:47:14	29877/29877	---M--	200	added ('OK')	image/jpeg	etag:%2263e00879-74b5%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3182_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3182_thumb.jpg	(from https://chanhleo.love/)
20:47:14	31234/31234	---M--	200	added ('OK')	image/jpeg	etag:%2263e00891-7a02%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3186_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3186_thumb.jpg	(from https://chanhleo.love/)
20:47:14	29525/29525	---M--	200	added ('OK')	image/jpeg	etag:%2263e008a3-7355%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3212_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3212_thumb.jpg	(from https://chanhleo.love/)
20:47:14	25560/25560	---M--	200	added ('OK')	image/jpeg	etag:%2263e008b0-63d8%22	https://chanhleo.love/storage/upload_images/thumbnail/4S4A3234_thumb.JPG	D:/Project/LandingPage/Wedding/chanhleo.love/storage/upload_images/thumbnail/4S4A3234_thumb.jpg	(from https://chanhleo.love/)
20:47:15	72309/72309	---M--	200	added ('OK')	image/jpeg	etag:%2263bda84a-11a75%22	https://chanhleo.love/landing/images/img_bg_4.jpg	D:/Project/LandingPage/Wedding/chanhleo.love/landing/images/img_bg_4.jpg	(from https://chanhleo.love/)
20:47:15	84380/84380	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-1499c%22	https://chanhleo.love/landing/js/jquery.min.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.min.js	(from https://chanhleo.love/)
20:47:15	8111/8111	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-1faf%22	https://chanhleo.love/landing/js/jquery.easing.1.3.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.easing.1.3.js	(from https://chanhleo.love/)
20:47:15	36816/36816	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-8fd0%22	https://chanhleo.love/landing/js/bootstrap.min.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/bootstrap.min.js	(from https://chanhleo.love/)
20:47:15	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-2283%22	https://chanhleo.love/landing/js/jquery.waypoints.min.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.waypoints.min.js	(from https://chanhleo.love/)
20:47:16	40401/40401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-9dd1%22	https://chanhleo.love/landing/js/owl.carousel.min.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/owl.carousel.min.js	(from https://chanhleo.love/)
20:47:16	3760/3760	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-eb0%22	https://chanhleo.love/landing/js/jquery.countTo.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.countTo.js	(from https://chanhleo.love/)
20:47:16	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-3135%22	https://chanhleo.love/landing/js/jquery.stellar.min.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.stellar.min.js	(from https://chanhleo.love/)
20:47:16	20932/20932	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-51c4%22	https://chanhleo.love/landing/js/jquery.magnific-popup.min.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.magnific-popup.min.js	(from https://chanhleo.love/)
20:47:17	1284/1284	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bae7c5-504%22	https://chanhleo.love/landing/js/magnific-popup-options.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/magnific-popup-options.js	(from https://chanhleo.love/)
20:47:17	45856/45856	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263dd48cc-b320%22	https://chanhleo.love/landing/js/jquery.justifiedGallery.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/jquery.justifiedGallery.js	(from https://chanhleo.love/)
20:47:17	9520/9520	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cbe0ff-2530%22	https://chanhleo.love/landing/js/simplyCountdown.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/simplyCountdown.js	(from https://chanhleo.love/)
20:47:17	125583/125583	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ce1316-1ea8f%22	https://chanhleo.love/landing/js/lightgallery.umd.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/lightgallery.umd.js	(from https://chanhleo.love/)
20:47:17	21638/21638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ce1597-5486%22	https://chanhleo.love/landing/js/plugins/lg-thumbnail.umd.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/plugins/lg-thumbnail.umd.js	(from https://chanhleo.love/)
20:47:18	43601/43601	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ce1597-aa51%22	https://chanhleo.love/landing/js/plugins/lg-zoom.umd.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/plugins/lg-zoom.umd.js	(from https://chanhleo.love/)
20:47:18	4997/4997	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bdb058-1385%22	https://chanhleo.love/landing/js/main.js	D:/Project/LandingPage/Wedding/chanhleo.love/landing/js/main.js	(from https://chanhleo.love/)
